right,difdemshare,demsharenext,demwinnext,demshareprev,demwinprev,demofficeexp,othofficeexp,demelectexp,othelectexp,y1,y2,x,r,z.1,z.2,z.3,z.4,z.5,z.6
1,0.018111,0.4795679,0,0.3112736,0,0,4,0,4,0.4795679,0,0.018111,1,0.3112736,0,0,4,0,4
1,0.0362127,0.509577,1,0.4799319,0,1,2,2,2,0.509577,1,0.0362127,1,0.4799319,0,1,2,2,2
1,0.0191541,0.4732815,0,0.5181063,1,2,2,3,3,0.4732815,0,0.0191541,1,0.5181063,1,2,2,3,3
0,-0.0407918,0.4262733,0,0.509577,1,3,0,4,0,0.4262733,0,-0.0407918,0,0.509577,1,3,0,4,0
0,-0.0800359,0.3705786,0,0.3691539,0,0,2,0,2,0.3705786,0,-0.0800359,0,0.3691539,0,0,2,0,2
0,-0.2395367,0.4163632,0,0.4519041,0,0,3,0,3,0.4163632,0,-0.2395367,0,0.4519041,0,0,3,0,3
0,-0.1672735,0.374229,0,0.3705786,0,0,4,0,4,0.374229,0,-0.1672735,0,0.3705786,0,0,4,0,4
0,-0.407879,0.4645901,0,0.4286395,0,0,7,0,7,0.4645901,0,-0.407879,0,0.4286395,0,0,7,0,7
0,-0.0708199,0.2706714,0,0.2960605,0,0,8,0,8,0.2706714,0,-0.0708199,0,0.2960605,0,0,8,0,8
0,-0.4471072,0.234377,0,0.4645901,0,0,0,0,0,0.234377,0,-0.4471072,0,0.4645901,0,0,0,0,0
0,-0.5064123,0.376289,0,0.2671421,0,0,3,0,3,0.376289,0,-0.5064123,0,0.2671421,0,0,3,0,3
0,-0.2282809,0.2987376,0,0.2377365,0,0,4,0,4,0.2987376,0,-0.2282809,0,0.2377365,0,0,4,0,4
0,-0.0366212,0.4565508,0,0.4078045,0,0,1,0,1,0.4565508,0,-0.0366212,0,0.4078045,0,0,1,0,1
0,-0.0550076,0.3807449,0,0.4329537,0,0,4,0,4,0.3807449,0,-0.0550076,0,0.4329537,0,0,4,0,4
0,-0.2385101,0.5379788,1,0.4724962,0,0,5,0,5,0.5379788,1,-0.2385101,0,0.4724962,0,0,5,0,5
1,0.0759575,0.5509939,1,0.3807449,0,0,6,0,6,0.5509939,1,0.0759575,1,0.3807449,0,0,6,0,6
1,0.3460447,0.5906281,1,0.5851482,1,3,0,3,0,0.5906281,1,0.3460447,1,0.5851482,1,3,0,3,0
1,0.1812563,0.5631508,1,0.6730223,1,4,0,4,0,0.5631508,1,0.1812563,1,0.6730223,1,4,0,4,0
1,0.1263015,0.547451,1,0.5906281,1,5,0,5,0,0.547451,1,0.1263015,1,0.5906281,1,5,0,5,0
0,-0.0243586,0.327493,0,0.4881682,0,0,1,0,1,0.327493,0,-0.0243586,0,0.4881682,0,0,1,0,1
0,-0.3376303,0.5231909,1,0.4796738,0,0,2,0,2,0.5231909,1,-0.3376303,0,0.4796738,0,0,2,0,2
1,0.0463818,0.5036535,1,0.327493,0,0,0,1,0,0.5036535,1,0.0463818,1,0.327493,0,0,0,1,0
0,-0.0884038,0.3910945,0,0.584647,1,3,0,4,0,0.3910945,0,-0.0884038,0,0.584647,1,3,0,4,0
0,-0.217811,0.2636131,0,0.4546928,0,0,1,0,1,0.2636131,0,-0.217811,0,0.4546928,0,0,1,0,1
0,-0.4727738,0.4724757,0,0.3910945,0,0,2,0,2,0.4724757,0,-0.4727738,0,0.3910945,0,0,2,0,2
0,-0.0667289,0.5204946,1,0.3112621,0,0,2,0,2,0.5204946,1,-0.0667289,0,0.3112621,0,0,2,0,2
1,0.061321,0.498826,1,0.455301,0,0,3,1,3,0.498826,1,0.061321,1,0.455301,0,0,3,1,3
1,0.1749363,0.4767974,0,0.5392071,0.8333333,1,0,1,0,0.4767974,0,0.1749363,1,0.5392071,0.8333333,1,0,1,0
0,-0.0121908,0.3771228,0,0.5874681,1,2,0,2,1,0.3771228,0,-0.0121908,0,0.5874681,1,2,0,2,1
0,-0.2457544,0.5106992,1,0.4767974,0,0,1,0,2,0.5106992,1,-0.2457544,0,0.4767974,0,0,1,0,2
1,0.2730199,0.5661947,1,0.6019144,1,0,0,0,0,0.5661947,1,0.2730199,1,0.6019144,1,0,0,0,0
1,0.1366028,0.6419783,1,0.6343839,1,1,0,1,0,0.6419783,1,0.1366028,1,0.6343839,1,1,0,1,0
1,0.2839566,0.5895807,1,0.5661947,1,2,0,2,0,0.5895807,1,0.2839566,1,0.5661947,1,2,0,2,0
0,-0.2796621,0.3582453,0,0.4776755,0,0,1,0,1,0.3582453,0,-0.2796621,0,0.4776755,0,0,1,0,1
0,-0.2835093,0.3327058,0,0.360169,0,0,2,0,2,0.3327058,0,-0.2835093,0,0.360169,0,0,2,0,2
0,-0.3301391,0.256297,0,0.3582453,0,0,3,0,3,0.256297,0,-0.3301391,0,0.3582453,0,0,3,0,3
0,-0.3237908,0.4892648,0,0.2519773,0,0,6,0,6,0.4892648,0,-0.3237908,0,0.2519773,0,0,6,0,6
0,-0.006968,0.3959298,0,0.3149748,0,0,7,1,7,0.3959298,0,-0.006968,0,0.3149748,0,0,7,1,7
0,-0.0045067,0.4855314,0,0.408776,0,0,1,0,1,0.4855314,0,-0.0045067,0,0.408776,0,0,1,0,1
0,-0.0200952,0.3854964,0,0.4475944,0,0,4,1,4,0.3854964,0,-0.0200952,0,0.4475944,0,0,4,1,4
0,-0.2290072,0.5603777,1,0.4899524,0,0,5,0,5,0.5603777,1,-0.2290072,0,0.4899524,0,0,5,0,5
1,0.1207553,0.5397531,1,0.3854964,0,0,6,0,6,0.5397531,1,0.1207553,1,0.3854964,0,0,6,0,6
1,0.24996669999999999,0.5417498,0.8333333,0.5270849,1,1.833333,0.3333333,2.166667,0.5,0.5417498,0.8333333,0.24996669999999999,1,0.5270849,1,1.833333,0.3333333,2.166667,0.5
1,0.1004093,0.5197377,0.6666667,0.6249834,1,2.833333,0.3333333,3.333333,0.6666667,0.5197377,0.6666667,0.1004093,1,0.6249834,1,2.833333,0.3333333,3.333333,0.6666667
1,0.0489676,0.4974656,0.6666667,0.5417498,0.8333333,3.166667,0.1666667,3.5,0.5,0.4974656,0.6666667,0.0489676,1,0.5417498,0.8333333,3.166667,0.1666667,3.5,0.5
0,-0.0010651,0.5037798,1,0.5684889,0.875,0,0,0,0,0.5037798,1,-0.0010651,0,0.5684889,0.875,0,0,0,0
1,0.0515417,0.566231,1,0.4994675,0,0,0,0,0,0.566231,1,0.0515417,1,0.4994675,0,0,0,0,0
1,0.1324619,0.5916184,1,0.5037798,1,1,0,1,0,0.5916184,1,0.1324619,1,0.5037798,1,1,0,1,0
0,-0.0036169,0.4262345,0,0.5936255,1,4,0,4,0,0.4262345,0,-0.0036169,0,0.5936255,1,4,0,4,0
0,-0.147531,0.3580324,0,0.4981915,0,0,1,0,1,0.3580324,0,-0.147531,0,0.4981915,0,0,1,0,1
0,-0.256727,0.3151485,0,0.4262345,0,0,2,0,2,0.3151485,0,-0.256727,0,0.4262345,0,0,2,0,2
0,-0.2704122,0.5315836,1,0.479458,0,0,1,0,1,0.5315836,1,-0.2704122,0,0.479458,0,0,1,0,1
1,0.0941815,0.6321753,1,0.3647939,0,0,0,0,0,0.6321753,1,0.0941815,1,0.3647939,0,0,0,0,0
1,0.2643505,0.6019666,1,0.5315836,1,1,0,1,0,0.6019666,1,0.2643505,1,0.5315836,1,1,0,1,0
0,-0.0378509,0.5531536,1,0.6501123,1,0,0,0,0,0.5531536,1,-0.0378509,0,0.6501123,1,0,0,0,0
1,0.1063073,0.6032729,1,0.4810746,0,0,1,0,1,0.6032729,1,0.1063073,1,0.4810746,0,0,1,0,1
1,0.2400829,0.5676211,1,0.5684889,0.875,0,0,0,0,0.5676211,1,0.2400829,1,0.5684889,0.875,0,0,0,0
1,0.1352422,0.5570587,1,0.6200415,1,1,0,1,0,0.5570587,1,0.1352422,1,0.6200415,1,1,0,1,0
1,0.1141174,0.6420932,1,0.5676211,1,2,0,2,0,0.6420932,1,0.1141174,1,0.5676211,1,2,0,2,0
0,-0.4273858,0.1965411,0,0.4561318,0,0,1,0,1,0.1965411,0,-0.4273858,0,0.4561318,0,0,1,0,1
0,-0.5745558,0.4085311,0,0.2863071,0,0,2,0,2,0.4085311,0,-0.5745558,0,0.2863071,0,0,2,0,2
0,-0.0996781,0.2149078,0,0.1965411,0,0,0,1,0,0.2149078,0,-0.0996781,0,0.1965411,0,0,0,1,0
0,-0.531296,0.2267028,0,0.3334917,0,0,3,0,3,0.2267028,0,-0.531296,0,0.3334917,0,0,3,0,3
0,-0.5465943,0.3379036,0,0.2259936,0,0,4,0,4,0.3379036,0,-0.5465943,0,0.2259936,0,0,4,0,4
0,-0.3241928,0.489715,0,0.2267028,0,0,5,0,5,0.489715,0,-0.3241928,0,0.2267028,0,0,5,0,5
1,0.049454,0.7193519,1,0.4201534,0,0,0,0,0,0.7193519,1,0.049454,1,0.4201534,0,0,0,0,0
1,0.4712471,0.7619609,1,0.4570358,1,1,0,1,0,0.7619609,1,0.4712471,1,0.4570358,1,1,0,1,0
0,-0.1435704,0.3109328,0,0.3973483,0,0,1,0,1,0.3109328,0,-0.1435704,0,0.3973483,0,0,1,0,1
0,-0.1116617,0.3598638,0,0.3265893,0,0,4,0,4,0.3598638,0,-0.1116617,0,0.3265893,0,0,4,0,4
0,-0.276075,0.4423993,0,0.4441691,0,0,5,0,5,0.4423993,0,-0.276075,0,0.4441691,0,0,5,0,5
0,-0.1106061,0.3118068,0,0.3598638,0,0,0,0,0,0.3118068,0,-0.1106061,0,0.3598638,0,0,0,0,0
0,-1,0,0,0.2563456,0,0,0,0,0,0,0,-1,0,0.2563456,0,0,0,0,0
0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,-1,0,0,0,0,0,5,0,5,0,0,-1,0,0,0,0,5,0,5
0,-0.4227931,0.3622291,0,0,0,0,8,0,8,0.3622291,0,-0.4227931,0,0,0,0,8,0,8
0,-0.2755418,0,0,0.2886035,0,0,9,0,9,0,0,-0.2755418,0,0.2886035,0,0,9,0,9
0,-1,0.2511442,0,0.3622291,0,0,10,0,10,0.2511442,0,-1,0,0.3622291,0,0,10,0,10
0,-0.4585908,0.2219971,0,0,0,0,0,0,0,0.2219971,0,-0.4585908,0,0,0,0,0,0,0
0,-0.5560058,0.8272819,1,0.2707046,0,0,14,0,14,0.8272819,1,-0.5560058,0,0.2707046,0,0,14,0,14
1,0.6545638,0.2243837,0,0.2219971,0,0,15,0,15,0.2243837,0,0.6545638,1,0.2219971,0,0,15,0,15
1,1,0.5274065,1,0.5154699,1,1,0,1,0,0.5274065,1,1,1,0.5154699,1,1,0,1,0
1,0.054813,0.7171871,1,1,1,2,0,2,0,0.7171871,1,0.054813,1,1,1,2,0,2,0
1,0.0973417,0.5464462,1,0.4858235,0,0,1,1,1,0.5464462,1,0.0973417,1,0.4858235,0,0,1,1,1
1,0.1927211,0.6122156,1,0.5179991,1,1,0,1,0,0.6122156,1,0.1927211,1,0.5179991,1,1,0,1,0
1,0.2244312,1,1,0.5963606,1,2,0,2,0,1,1,0.2244312,1,0.5963606,1,2,0,2,0
1,1,1,1,0.6122156,1,3,0,3,0,1,1,1,1,0.6122156,1,3,0,3,0
1,1,1,1,0.6779088,1,6,0,6,0,1,1,1,1,0.6779088,1,6,0,6,0
1,1,0.7364612,1,1,1,7,0,7,0,0.7364612,1,1,1,1,1,7,0,7,0
1,0.4729224,1,1,1,1,8,0,8,0,1,1,0.4729224,1,1,1,8,0,8,0
1,1,0.7236079,1,1,1,11,0,11,0,0.7236079,1,1,1,1,1,11,0,11,0
1,0.4998465,0.7283562,1,1,1,12,0,12,0,0.7283562,1,0.4998465,1,1,1,12,0,12,0
1,0.4567124,0.671998,1,0.7236079,1,13,0,13,1,0.671998,1,0.4567124,1,0.7236079,1,13,0,13,1
1,0.3739464,0.6593966,1,0.7263193,1,16,0,16,4,0.6593966,1,0.3739464,1,0.7263193,1,16,0,16,4
1,0.3187932,0.8025454,1,0.6869732,1,17,0,17,0,0.8025454,1,0.3187932,1,0.6869732,1,17,0,17,0
1,0.6050907,1,1,0.6593966,1,0,0,0,0,1,1,0.6050907,1,0.6593966,1,0,0,0,0
1,0.2221445,0.7174549,1,0.5312929,1,3,0,3,0,0.7174549,1,0.2221445,1,0.5312929,1,3,0,3,0
1,0.4978762,1,1,0.5856645,1,4,0,4,0,1,1,0.4978762,1,0.5856645,1,4,0,4,0
1,0.4789193,0.7152596,1,0.6215664,1,1,0,1,1,0.7152596,1,0.4789193,1,0.6215664,1,1,0,1,1
1,1,0.7094244,1,0.6731937,1,4,0,4,0,0.7094244,1,1,1,0.6731937,1,4,0,4,0
1,0.4188487,1,1,1,1,5,0,5,0,1,1,0.4188487,1,1,1,5,0,5,0
1,1,1,1,0.7094244,1,6,0,6,0,1,1,1,1,0.7094244,1,6,0,6,0
1,1,0.7103584,1,0.7235264,1,9,0,9,0,0.7103584,1,1,1,0.7235264,1,9,0,9,0
1,0.4207167,0.4782761,1,1,1,10,0,10,0,0.4782761,1,0.4207167,1,1,1,10,0,10,0
1,0.2012596,0.3765835,1,0.7103584,1,11,5,11,5,0.3765835,1,0.2012596,1,0.7103584,1,11,5,11,5
1,0.1109451,1,1,1,1,0,0,0,0,1,1,0.1109451,1,1,1,0,0,0,0
1,1,0.752459,1,0.495281,1,1,0,1,0,0.752459,1,1,1,0.495281,1,1,0,1,0
1,0.5049181,0.7230824,1,1,1,2,0,2,0,0.7230824,1,0.5049181,1,1,1,2,0,2,0
1,0.3482604,1,1,1,1,5,0,5,0,1,1,0.3482604,1,1,1,5,0,5,0
1,1,1,1,0.6741302,1,6,0,6,0,1,1,1,1,0.6741302,1,6,0,6,0
1,1,1,1,1,1,7,0,7,0,1,1,1,1,1,1,7,0,7,0
0,-0.1044064,0.53146,1,0.4430641,0,0,1,0,1,0.53146,1,-0.1044064,0,0.4430641,0,0,1,0,1
1,0.0761511,0.5696267,1,0.442192,0,0,2,0,2,0.5696267,1,0.0761511,1,0.442192,0,0,2,0,2
1,0.1834804,0.5694045,1,0.4949101,1,1,0,1,0,0.5694045,1,0.1834804,1,0.4949101,1,1,0,1,0
1,0.1426351,0.5943154,1,0.5442157,1,4,0,4,0,0.5943154,1,0.1426351,1,0.5442157,1,4,0,4,0
1,0.1886308,0.6378807,1,0.5713176,1,5,0,5,0,0.6378807,1,0.1886308,1,0.5713176,1,5,0,5,0
1,0.2757615,0.645264,1,0.5943154,1,6,0,6,0,0.645264,1,0.2757615,1,0.5943154,1,6,0,6,0
1,0.4350642,1,1,0.9045963,1,9,0,9,0,1,1,0.4350642,1,0.9045963,1,9,0,9,0
1,1,0.6095017,1,0.7175321,1,10,0,10,0,0.6095017,1,1,1,0.7175321,1,10,0,10,0
1,0.2190034,0.5433025,1,1,1,11,0,11,0,0.5433025,1,0.2190034,1,1,1,11,0,11,0
1,0.1611982,0.5207453,1,0.4959118,1,2,0,2,0,0.5207453,1,0.1611982,1,0.4959118,1,2,0,2,0
1,0.0414907,1,1,0.5084839,1,3,0,3,0,1,1,0.0414907,1,0.5084839,1,3,0,3,0
1,1,0.5189804,1,0.5207453,1,4,0,4,0,0.5189804,1,1,1,0.5207453,1,4,0,4,0
1,0.4839931,0.8885443,1,0.5953003,1,2,0,3,0,0.8885443,1,0.4839931,1,0.5953003,1,2,0,3,0
1,0.7770886,0.7031319,1,0.7419965,1,3,0,4,0,0.7031319,1,0.7770886,1,0.7419965,1,3,0,4,0
1,0.4062637,0.6553463,1,0.8885443,1,4,0,5,0,0.6553463,1,0.4062637,1,0.8885443,1,4,0,5,0
1,1,0.716615,1,0.6770078,1,7,0,8,0,0.716615,1,1,1,0.6770078,1,7,0,8,0
1,0.43323,1,1,1,1,8,0,9,0,1,1,0.43323,1,1,1,8,0,9,0
0,-1,0.2387519,0,0.2804455,0,0,1,0,1,0.2387519,0,-1,0,0.2804455,0,0,1,0,1
0,-1,0.2671812,0,0.2368021,0,0,4,0,4,0.2671812,0,-1,0,0.2368021,0,0,4,0,4
0,-0.4656375,0.3398173,0,0,0,0,5,0,5,0.3398173,0,-0.4656375,0,0,0,0,5,0,5
0,-0.3203654,0.4548613,0,0.2671812,0,0,6,0,6,0.4548613,0,-0.3203654,0,0.2671812,0,0,6,0,6
0,-0.3001963,0.2518995,0,0.42613,0,0,2,0,2,0.2518995,0,-0.3001963,0,0.42613,0,0,2,0,2
0,-0.496201,0.3959044,0,0.3499018,0,0,3,0,3,0.3959044,0,-0.496201,0,0.3499018,0,0,3,0,3
0,-0.2081913,0.367019,0,0.2518995,0,0,4,0,4,0.367019,0,-0.2081913,0,0.2518995,0,0,4,0,4
1,0.2127911,0.6731154,1,0.4471968,0,0,1,0,1,0.6731154,1,0.2127911,1,0.4471968,0,0,1,0,1
1,0.3462309,0.5221108,1,0.6063955,1,1,0,1,1,0.5221108,1,0.3462309,1,0.6063955,1,1,0,1,1
1,0.2401665,0.6596947,1,0.6731154,1,0,0,0,0,0.6596947,1,0.2401665,1,0.6731154,1,0,0,0,0
1,0.0671172,1,1,0.8474979,1,0,0,0,0,1,1,0.0671172,1,0.8474979,1,0,0,0,0
1,1,0.8411742,1,0.5335586,1,1,0,1,0,0.8411742,1,1,1,0.5335586,1,1,0,1,0
1,0.6823484,0.5218108,1,1,1,2,0,2,0,0.5218108,1,0.6823484,1,1,1,2,0,2,0
1,0.3970585,1,1,0.5221326,1,1,0,1,1,1,1,0.3970585,1,0.5221326,1,1,0,1,1
1,1,0.7073159,1,0.6985292,1,2,0,2,0,0.7073159,1,1,1,0.6985292,1,2,0,2,0
0,-1,0.2628621,0,0.297916,0,0,1,0,1,0.2628621,0,-1,0,0.297916,0,0,1,0,1
0,-0.4235976,0,0,0,0,0,2,0,2,0,0,-0.4235976,0,0,0,0,2,0,2
0,-1,0,0,0.2882012,0,0,3,0,3,0,0,-1,0,0.2882012,0,0,3,0,3
0,-1,0.340713,0,0,0,0,4,0,4,0.340713,0,-1,0,0,0,0,4,0,4
0,-0.2921292,0.3429449,0,0.438107,0,0,7,0,7,0.3429449,0,-0.2921292,0,0.438107,0,0,7,0,7
0,-0.3141102,0.339215,0,0.3539354,0,0,8,0,8,0.339215,0,-0.3141102,0,0.3539354,0,0,8,0,8
0,-0.32157,0.6169378,1,0.3429449,0,0,9,0,9,0.6169378,1,-0.32157,0,0.3429449,0,0,9,0,9
1,1,0.5480555,1,0.6405827,1,2,0,2,0,0.5480555,1,1,1,0.6405827,1,2,0,2,0
1,0.1348341,0.537617,1,1,1,3,0,3,0,0.537617,1,0.1348341,1,1,1,3,0,3,0
1,0.0752339,0.5082284,1,0.5480555,1,0,0,0,1,0.5082284,1,0.0752339,1,0.5480555,1,0,0,0,1
1,0.4394049,1,1,0.5782868,1,0,0,0,0,1,1,0.4394049,1,0.5782868,1,0,0,0,0
1,1,0.6971067,1,0.703814,1,3,0,3,0,0.6971067,1,1,1,0.703814,1,3,0,3,0
1,0.3942133,0.6505855,1,1,1,4,0,4,0,0.6505855,1,0.3942133,1,1,1,4,0,4,0
0,-0.0312081,0.482267,1,0.450042,0,0,1,0,1,0.482267,1,-0.0312081,0,0.450042,0,0,1,0,1
1,0.0013054,0.5456578,1,0.4740364,0,0,2,1,2,0.5456578,1,0.0013054,1,0.4740364,0,0,2,1,2
1,0.5841385,0.7847348,1,0.6074944,1,1,0,1,0,0.7847348,1,0.5841385,1,0.6074944,1,1,0,1,0
0,-1,0.6447104,1,0.7472296,1,0,0,0,0,0.6447104,1,-1,0,0.7472296,1,0,0,0,0
1,0.2894209,0.7558273,1,0,0,5,0,5,0,0.7558273,1,0.2894209,1,0,0,5,0,5,0
1,0.5116546,1,1,0.6447104,1,6,0,6,1,1,1,0.5116546,1,0.6447104,1,6,0,6,1
1,0.5389509,0.7449415,1,0.7158216,1,5,0,5,2,0.7449415,1,0.5389509,1,0.7158216,1,5,0,5,2
1,0.489883,0.6251575,1,0.7694755,1,6,0,6,3,0.6251575,1,0.489883,1,0.7694755,1,6,0,6,3
1,0.250315,0.7222104,1,0.7449415,1,7,0,7,0,0.7222104,1,0.250315,1,0.7449415,1,7,0,7,0
1,0.5956349,0.7691424,1,0.6774893,1,10,0,10,0,0.7691424,1,0.5956349,1,0.6774893,1,10,0,10,0
1,0.5933118,0.8484141,1,0.7978175,1,0,0,0,0,0.8484141,1,0.5933118,1,0.7978175,1,0,0,0,0
1,0.6968281,1,1,0.7691424,1,1,0,1,0,1,1,0.6968281,1,0.7691424,1,1,0,1,0
1,0.4282932,1,1,0.778446,1,4,0,4,0,1,1,0.4282932,1,0.778446,1,4,0,4,0
1,1,1,1,0.7141466,1,5,0,5,0,1,1,1,1,0.7141466,1,5,0,5,0
1,1,1,1,1,1,6,0,6,0,1,1,1,1,1,1,6,0,6,0
1,0.2889653,0.6985441,1,0.6210465,1,9,0,9,0,0.6985441,1,0.2889653,1,0.6210465,1,9,0,9,0
1,0.3970883,0.7065386,1,0.6444826,1,10,0,10,0,0.7065386,1,0.3970883,1,0.6444826,1,10,0,10,0
0,-0.0207051,0.4611265,0,0.3648237,0,0,1,1,1,0.4611265,0,-0.0207051,0,0.3648237,0,0,1,1,1
1,0.0638741,0.5478477,1,0.4866361,0,0,4,0,4,0.5478477,1,0.0638741,1,0.4866361,0,0,4,0,4
1,0.0956955,0.6635523,1,0.5319371,1,1,0,1,0,0.6635523,1,0.0956955,1,0.5319371,1,1,0,1,0
